Model,Dataset,Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Token Savings (%),Accuracy Drop,Efficiency Score
LLaMA-3.1-8B,GSM8K,BeConcise,82.4,170.1,0.235,0.696,30.44,-3.8,48.442
LLaMA-3.1-8B,GSM8K,OnlyNumbers,80.4,114.54,0.214,0.468,53.16,-1.8,70.194
LLaMA-3.1-8B,GSM8K,AbbreWords,79.2,145.02,0.275,0.593,40.69,-0.6,54.613
LLaMA-3.1-8B,GSM8K,Original,78.6,244.52,0.302,1.0,0.0,0.0,32.145
LLaMA-3.1-8B,GSM8K,Truncation_0.9,78.6,243.54,0.271,0.996,0.4,0.0,32.274
LLaMA-3.1-8B,GSM8K,Truncation_0.8,77.6,241.76,0.244,0.989,1.13,1.0,32.098
LLaMA-3.1-8B,GSM8K,Truncation_0.7,75.8,238.81,0.214,0.977,2.34,2.8,31.741
LLaMA-3.1-8B,GSM8K,Truncation_0.6,69.0,232.37,0.186,0.95,4.97,9.6,29.694
LLaMA-3.1-8B,GSM8K,Truncation_0.5,57.0,219.15,0.155,0.896,10.38,21.6,26.01
Qwen2.5-7B,GSM8K,BeConcise,85.8,179.65,0.173,0.571,42.9,-1.6,47.76
Qwen2.5-7B,GSM8K,AbbreWords,84.8,164.04,0.175,0.521,47.86,-0.6,51.695
Qwen2.5-7B,GSM8K,Original,84.2,314.62,1.127,1.0,0.0,0.0,26.762
Qwen2.5-7B,GSM8K,Truncation_0.9,82.2,311.94,0.201,0.991,0.85,2.0,26.351
Qwen2.5-7B,GSM8K,OnlyNumbers,80.8,143.26,0.185,0.455,54.47,3.4,56.401
Qwen2.5-7B,GSM8K,Truncation_0.8,78.4,306.72,0.173,0.975,2.51,5.8,25.561
Qwen2.5-7B,GSM8K,Truncation_0.7,65.4,294.88,0.146,0.937,6.27,18.8,22.179
Qwen2.5-7B,GSM8K,Truncation_0.6,49.2,274.67,0.122,0.873,12.7,35.0,17.912
Qwen2.5-7B,GSM8K,Truncation_0.5,31.4,243.16,0.098,0.773,22.71,52.8,12.913
LLaMA-3.1-8B,MATH-500,Original,44.6,533.16,0.73,1.0,0.0,0.0,8.365
LLaMA-3.1-8B,MATH-500,Truncation_0.9,43.8,510.11,0.638,0.957,4.32,0.8,8.586
LLaMA-3.1-8B,MATH-500,Truncation_0.8,43.4,485.56,0.558,0.911,8.93,1.2,8.938
LLaMA-3.1-8B,MATH-500,Truncation_0.7,42.4,458.06,0.483,0.859,14.09,2.2,9.256
LLaMA-3.1-8B,MATH-500,BeConcise,42.2,436.38,0.726,0.818,18.15,2.4,9.67
LLaMA-3.1-8B,MATH-500,AbbreWords,42.0,466.88,0.727,0.876,12.43,2.6,8.996
LLaMA-3.1-8B,MATH-500,Truncation_0.6,41.8,426.59,0.405,0.8,19.99,2.8,9.799
LLaMA-3.1-8B,MATH-500,Truncation_0.5,39.0,388.49,0.336,0.729,27.13,5.6,10.039
LLaMA-3.1-8B,MATH-500,OnlyNumbers,29.8,431.07,0.723,0.809,19.15,14.8,6.913
Qwen2.5-7B,MATH-500,AbbreWords,69.6,487.37,0.523,0.874,12.64,-1.2,14.281
Qwen2.5-7B,MATH-500,BeConcise,69.0,457.87,0.524,0.821,17.93,-0.6,15.07
Qwen2.5-7B,MATH-500,Original,68.4,557.91,0.542,1.0,0.0,0.0,12.26
Qwen2.5-7B,MATH-500,Truncation_0.9,66.4,547.74,0.475,0.982,1.82,2.0,12.123
Qwen2.5-7B,MATH-500,Truncation_0.8,62.6,531.58,0.417,0.953,4.72,5.8,11.776
Qwen2.5-7B,MATH-500,Truncation_0.7,60.0,506.77,0.359,0.908,9.17,8.4,11.84
Qwen2.5-7B,MATH-500,Truncation_0.6,55.2,475.64,0.319,0.853,14.75,13.2,11.605
Qwen2.5-7B,MATH-500,OnlyNumbers,53.6,350.41,0.52,0.628,37.19,14.8,15.296
Qwen2.5-7B,MATH-500,Truncation_0.5,44.6,433.01,0.267,0.776,22.39,23.8,10.3
