Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,71.04,316.28,0.151,316.284,937,1319,,0.0,0.0,22.4611
BeConcise,69.29,309.22,0.145,0.978,914,1319,,2.23,-1.75,22.408
OnlyNumbers,71.65,312.51,0.146,0.988,945,1319,,1.19,0.61,22.9273
AbbreWords,69.52,315.27,0.145,0.997,917,1319,,0.32,-1.52,22.0509
LC-Prompt,63.0,254.39,0.143,0.804,831,1319,,19.57,-8.04,24.7651
Truncation0.5,29.72,244.85,0.073,0.774,392,1319,0.5,22.58,-41.32,12.138
Truncation0.6,47.01,275.82,0.088,0.872,620,1319,0.6,12.79,-24.03,17.0437
Truncation0.7,59.06,295.9,0.106,0.936,779,1319,0.7,6.44,-11.98,19.9594
Truncation0.8,65.43,307.11,0.121,0.971,863,1319,0.8,2.9,-5.61,21.3051
Truncation0.9,70.05,313.22,0.136,0.99,924,1319,0.9,0.97,-0.99,22.3645
LLMLingua0.5,25.47,289.91,0.149,0.917,336,1319,0.5,8.34,-45.57,8.7855
LLMLingua0.6,32.45,305.44,0.15,0.966,428,1319,0.6,3.43,-38.59,10.624
LLMLingua0.7,42.61,318.56,0.153,1.007,562,1319,0.7,-0.72,-28.43,13.3758
LLMLingua0.8,55.27,316.92,0.147,1.002,729,1319,0.8,-0.2,-15.77,17.4397
LLMLingua0.9,64.29,320.0,0.148,1.012,848,1319,0.9,-1.18,-6.75,20.0906
LoRA0.5,50.8,189.61,0.125,0.6,670,1319,0.5,40.05,-20.24,26.7918
LoRAGuided0.5,53.22,185.46,0.127,0.586,702,1319,0.5,41.36,-17.82,28.6962
LoRASoft0.5,52.77,177.87,0.117,0.562,696,1319,0.5,43.76,-18.27,29.6677
LoRA0.6,59.14,225.9,0.13,0.714,780,1319,0.6,28.58,-11.9,26.1797
LoRAGuided0.6,57.32,218.54,0.132,0.691,756,1319,0.6,30.9,-13.72,26.2286
LoRASoft0.6,56.94,205.8,0.133,0.651,751,1319,0.6,34.93,-14.1,27.6676
LoRA0.7,63.15,256.74,0.145,0.812,833,1319,0.7,18.83,-7.89,24.5969
LoRAGuided0.7,62.62,245.9,0.135,0.777,826,1319,0.7,22.25,-8.42,25.4656
LoRASoft0.7,59.51,219.99,0.135,0.696,785,1319,0.7,30.44,-11.53,27.0512
LoRA0.8,68.08,280.22,0.144,0.886,898,1319,0.8,11.4,-2.96,24.2952
LoRAGuided0.8,67.4,268.03,0.143,0.847,889,1319,0.8,15.26,-3.64,25.1464
LoRASoft0.8,64.59,248.73,0.142,0.786,852,1319,0.8,21.36,-6.45,25.9679
LoRA0.9,67.1,297.76,0.149,0.941,885,1319,0.9,5.86,-3.94,22.5349
LoRAGuided0.9,68.39,285.22,0.144,0.902,902,1319,0.9,9.82,-2.65,23.978
LoRASoft0.9,66.03,268.86,0.146,0.85,871,1319,0.9,14.99,-5.01,24.5593
