Benchmark,Model Size,Params (B),Method,Accuracy,Avg Tokens,Token Savings,Latency(s)
GSM8K,0.5B,0.5,Original,43.14,302.48,0.0,0.122
GSM8K,0.5B,0.5,BeConcise,43.29,296.53,1.97,0.124
GSM8K,0.5B,0.5,OnlyNumbers,43.75,292.85,3.18,0.121
GSM8K,0.5B,0.5,AbbreWords,44.35,296.44,2.0,0.123
GSM8K,0.5B,0.5,LC-Prompt,40.41,320.29,-5.89,0.123
GSM8K,0.5B,0.5,Truncation0.5,24.87,240.82,20.38,0.062
GSM8K,0.5B,0.5,Truncation0.6,34.42,268.08,11.37,0.073
GSM8K,0.5B,0.5,Truncation0.7,39.42,284.81,5.84,0.085
GSM8K,0.5B,0.5,Truncation0.8,42.08,294.19,2.74,0.098
GSM8K,0.5B,0.5,Truncation0.9,42.53,299.43,1.01,0.11
GSM8K,0.5B,0.5,LLMLingua0.5,10.16,273.18,9.69,0.122
GSM8K,0.5B,0.5,LLMLingua0.6,14.56,289.34,4.34,0.123
GSM8K,0.5B,0.5,LLMLingua0.7,20.85,295.23,2.4,0.121
GSM8K,0.5B,0.5,LLMLingua0.8,32.9,305.48,-0.99,0.118
GSM8K,0.5B,0.5,LLMLingua0.9,39.5,307.01,-1.5,0.12
GSM8K,0.5B,0.5,LoRA0.5,32.98,229.06,24.27,0.114
GSM8K,0.5B,0.5,LoRAGuided0.5,26.91,193.9,35.9,0.114
GSM8K,0.5B,0.5,LoRASoft0.5,28.35,216.82,28.32,0.116
GSM8K,0.5B,0.5,LoRA0.6,34.72,233.51,22.8,0.114
GSM8K,0.5B,0.5,LoRAGuided0.6,30.63,198.93,34.23,0.114
GSM8K,0.5B,0.5,LoRASoft0.6,28.51,220.62,27.06,0.12
GSM8K,0.5B,0.5,LoRA0.7,35.94,234.6,22.44,0.12
GSM8K,0.5B,0.5,LoRAGuided0.7,30.33,199.16,34.16,0.113
GSM8K,0.5B,0.5,LoRASoft0.7,27.07,225.42,25.48,0.12
GSM8K,0.5B,0.5,LoRA0.8,37.45,240.41,20.52,0.117
GSM8K,0.5B,0.5,LoRAGuided0.8,34.5,209.96,30.59,0.114
GSM8K,0.5B,0.5,LoRASoft0.8,28.13,222.03,26.6,0.112
GSM8K,0.5B,0.5,LoRA0.9,39.35,273.57,9.56,0.114
GSM8K,0.5B,0.5,LoRAGuided0.9,36.77,232.97,22.98,0.111
GSM8K,0.5B,0.5,LoRASoft0.9,30.1,216.3,28.49,0.111
GSM8K,1.5B,1.5,Original,71.04,316.28,0.0,0.141
GSM8K,1.5B,1.5,BeConcise,69.29,309.22,2.23,0.137
GSM8K,1.5B,1.5,OnlyNumbers,71.65,312.51,1.19,0.135
GSM8K,1.5B,1.5,AbbreWords,69.52,315.27,0.32,0.139
GSM8K,1.5B,1.5,LC-Prompt,63.0,254.39,19.57,0.138
GSM8K,1.5B,1.5,Truncation0.5,29.72,244.85,22.58,0.069
GSM8K,1.5B,1.5,Truncation0.6,47.01,275.82,12.79,0.082
GSM8K,1.5B,1.5,Truncation0.7,59.06,295.9,6.44,0.099
GSM8K,1.5B,1.5,Truncation0.8,65.43,307.11,2.9,0.109
GSM8K,1.5B,1.5,Truncation0.9,70.05,313.22,0.97,0.126
GSM8K,1.5B,1.5,LLMLingua0.5,22.06,290.37,8.19,0.138
GSM8K,1.5B,1.5,LLMLingua0.6,29.49,302.35,4.4,0.139
GSM8K,1.5B,1.5,LLMLingua0.7,43.14,315.91,0.12,0.139
GSM8K,1.5B,1.5,LLMLingua0.8,58.76,319.87,-1.14,0.14
GSM8K,1.5B,1.5,LLMLingua0.9,67.93,313.25,0.96,0.135
GSM8K,1.5B,1.5,LoRA0.5,50.87,180.71,42.86,0.128
GSM8K,1.5B,1.5,LoRAGuided0.5,50.8,176.68,44.14,0.114
GSM8K,1.5B,1.5,LoRASoft0.5,53.9,172.17,45.56,0.107
GSM8K,1.5B,1.5,LoRA0.6,56.56,210.0,33.6,0.123
GSM8K,1.5B,1.5,LoRAGuided0.6,57.39,198.94,37.1,0.119
GSM8K,1.5B,1.5,LoRASoft0.6,55.04,199.57,36.9,0.118
GSM8K,1.5B,1.5,LoRA0.7,61.94,249.18,21.22,0.135
GSM8K,1.5B,1.5,LoRAGuided0.7,61.11,232.96,26.34,0.126
