Benchmark,Model,Params_B,Gamma,Baseline_Acc,Best_LoRA_Acc,Acc_Drop_pp,Best_Variant,Token_Savings_pct,Avg_Tokens
GSM8K,0.5B,0.5,0.5,43.14,32.98,10.16,LoRA,24.27,229.1
GSM8K,0.5B,0.5,0.6,43.14,34.72,8.42,LoRA,22.8,233.5
GSM8K,0.5B,0.5,0.7,43.14,35.94,7.2,LoRA,22.44,234.6
GSM8K,0.5B,0.5,0.8,43.14,37.45,5.69,LoRA,20.52,240.4
GSM8K,0.5B,0.5,0.9,43.14,39.35,3.79,LoRA,9.56,273.6
GSM8K,1.5B,1.5,0.5,71.04,53.9,17.14,LoRASoft,45.56,172.2
GSM8K,1.5B,1.5,0.6,71.04,57.39,13.65,LoRAGuided,37.1,198.9
GSM8K,1.5B,1.5,0.7,71.04,61.94,9.1,LoRA,21.22,249.2
GSM8K,1.5B,1.5,0.8,71.04,66.49,4.55,LoRA,13.17,274.6
GSM8K,1.5B,1.5,0.9,71.04,67.7,3.34,LoRAGuided,10.77,282.2
GSM8K,3B,3.0,0.5,82.79,73.69,9.1,LoRAGuided,48.43,164.2
GSM8K,3B,3.0,0.6,82.79,78.54,4.25,LoRA,31.88,217.0
GSM8K,3B,3.0,0.7,82.79,82.41,0.38,LoRA,21.04,251.5
GSM8K,3B,3.0,0.8,82.79,82.64,0.15,LoRAGuided,18.75,258.8
GSM8K,3B,3.0,0.9,82.79,84.08,-1.29,LoRA,8.9,290.1
GSM8K,7B,7.0,0.5,90.45,83.78,6.67,LoRA,45.17,164.4
GSM8K,7B,7.0,0.6,90.45,87.19,3.26,LoRAGuided,41.94,174.0
GSM8K,7B,7.0,0.7,90.45,88.86,1.59,LoRAGuided,30.06,209.7
GSM8K,7B,7.0,0.8,90.45,89.92,0.53,LoRA,14.98,254.9
GSM8K,7B,7.0,0.9,90.45,90.45,0.0,LoRAGuided,15.27,254.0
GSM8K,14B,14.0,0.5,92.42,92.49,-0.07,LoRASoft,47.39,165.3
GSM8K,14B,14.0,0.6,92.42,92.42,0.0,LoRA,35.76,201.9
GSM8K,14B,14.0,0.7,92.42,93.18,-0.76,LoRA,24.53,237.2
GSM8K,14B,14.0,0.8,92.42,93.93,-1.51,LoRA,14.68,268.1
GSM8K,14B,14.0,0.9,92.42,93.71,-1.29,LoRA,8.74,286.8
MATH-500,0.5B,0.5,0.5,25.8,15.2,10.6,LoRAGuided,31.67,378.2
MATH-500,0.5B,0.5,0.6,25.8,16.8,9.0,LoRA,22.49,429.0
MATH-500,0.5B,0.5,0.7,25.8,16.2,9.6,LoRA,16.75,460.8
MATH-500,0.5B,0.5,0.8,25.8,17.4,8.4,LoRA,14.7,472.1
MATH-500,0.5B,0.5,0.9,25.8,18.2,7.6,LoRA,10.53,495.2
MATH-500,0.5B,0.5,adaptive,25.8,17.8,8.0,LoRAAdaptive,9.98,498.2
MATH-500,1.5B,1.5,0.5,43.6,24.0,19.6,LoRA,36.73,362.0
MATH-500,1.5B,1.5,0.6,43.6,29.8,13.8,LoRA,29.13,405.5
MATH-500,1.5B,1.5,0.7,43.6,32.6,11.0,LoRA,21.73,447.8
MATH-500,1.5B,1.5,0.8,43.6,37.0,6.6,LoRASoft,16.28,479.0
MATH-500,1.5B,1.5,0.9,43.6,37.6,6.0,LoRA,8.92,521.1
MATH-500,1.5B,1.5,adaptive,43.6,35.4,8.2,LoRAAdaptive,13.85,492.9
MATH-500,3B,3.0,0.5,55.6,34.8,20.8,LoRASoft,42.97,331.0
MATH-500,3B,3.0,0.6,55.6,40.6,15.0,LoRASoft,34.52,380.0
MATH-500,3B,3.0,0.7,55.6,48.2,7.4,LoRAGuided,24.89,435.9
MATH-500,3B,3.0,0.8,55.6,52.4,3.2,LoRAGuided,18.5,473.0
MATH-500,3B,3.0,0.9,55.6,56.2,-0.6,LoRASoft,17.31,479.9
MATH-500,3B,3.0,adaptive,55.6,47.2,8.4,LoRAAdaptive,12.7,506.7
MATH-500,7B,7.0,0.5,61.0,48.4,12.6,LoRASoft,44.35,318.2
MATH-500,7B,7.0,0.6,61.0,51.4,9.6,LoRA,31.58,391.1
MATH-500,7B,7.0,0.7,61.0,56.6,4.4,LoRAGuided,24.56,431.2
MATH-500,7B,7.0,0.8,61.0,60.4,0.6,LoRAGuided,16.59,476.8
MATH-500,7B,7.0,0.9,61.0,62.2,-1.2,LoRA,7.73,527.5
MATH-500,7B,7.0,adaptive,61.0,60.2,0.8,LoRAAdaptive,15.5,483.1
MATH-500,14B,14.0,0.5,65.0,53.8,11.2,LoRASoft,39.74,350.5
MATH-500,14B,14.0,0.6,65.0,58.4,6.6,LoRASoft,32.85,390.6
MATH-500,14B,14.0,0.7,65.0,62.2,2.8,LoRASoft,27.47,421.9
MATH-500,14B,14.0,0.8,65.0,64.6,0.4,LoRASoft,23.59,444.4
MATH-500,14B,14.0,0.9,65.0,64.4,0.6,LoRASoft,20.56,462.1
MATH-500,14B,14.0,adaptive,65.0,61.6,3.4,LoRAAdaptive,14.77,495.8
