Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,71.04,316.28,0.141,316.284,937,1319,,0.0,0.0,22.4611
BeConcise,69.29,309.22,0.137,0.978,914,1319,,2.23,-1.75,22.408
OnlyNumbers,71.65,312.51,0.135,0.988,945,1319,,1.19,0.61,22.9273
AbbreWords,69.52,315.27,0.139,0.997,917,1319,,0.32,-1.52,22.0509
LC-Prompt,63.0,254.39,0.138,0.804,831,1319,,19.57,-8.04,24.7651
Truncation0.5,29.72,244.85,0.069,0.774,392,1319,0.5,22.58,-41.32,12.138
Truncation0.6,47.01,275.82,0.082,0.872,620,1319,0.6,12.79,-24.03,17.0437
Truncation0.7,59.06,295.9,0.099,0.936,779,1319,0.7,6.44,-11.98,19.9594
Truncation0.8,65.43,307.11,0.109,0.971,863,1319,0.8,2.9,-5.61,21.3051
Truncation0.9,70.05,313.22,0.126,0.99,924,1319,0.9,0.97,-0.99,22.3645
LLMLingua0.5,22.06,290.37,0.138,0.918,291,1319,0.5,8.19,-48.98,7.5972
LLMLingua0.6,29.49,302.35,0.139,0.956,389,1319,0.6,4.4,-41.55,9.7536
LLMLingua0.7,43.14,315.91,0.139,0.999,569,1319,0.7,0.12,-27.9,13.6558
LLMLingua0.8,58.76,319.87,0.14,1.011,775,1319,0.8,-1.14,-12.28,18.37
LLMLingua0.9,67.93,313.25,0.135,0.99,896,1319,0.9,0.96,-3.11,21.6856
