Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,90.45,299.8,0.215,299.8,1193,1319,,0.0,0.0,30.1701
BeConcise,90.22,231.62,0.186,0.773,1190,1319,,22.74,-0.23,38.9517
OnlyNumbers,89.46,180.23,0.164,0.601,1180,1319,,39.88,-0.99,49.6366
AbbreWords,88.86,181.51,0.179,0.605,1172,1319,,39.46,-1.59,48.956
LC-Prompt,89.54,178.45,0.148,0.595,1181,1319,,40.48,-0.91,50.1765
Truncation0.5,39.12,241.47,0.094,0.805,516,1319,0.5,19.46,-51.33,16.2008
Truncation0.6,61.49,268.74,0.116,0.896,811,1319,0.6,10.36,-28.96,22.8809
Truncation0.7,75.51,285.11,0.141,0.951,996,1319,0.7,4.9,-14.94,26.4845
Truncation0.8,84.69,293.88,0.166,0.98,1117,1319,0.8,1.97,-5.76,28.8179
Truncation0.9,88.63,297.97,0.192,0.994,1169,1319,0.9,0.61,-1.82,29.7446
LLMLingua0.5,41.39,287.21,0.208,0.958,546,1319,0.5,4.2,-49.06,14.4111
LLMLingua0.6,54.28,301.36,0.209,1.005,716,1319,0.6,-0.52,-36.17,18.0117
LLMLingua0.7,68.61,299.05,0.209,0.997,905,1319,0.7,0.25,-21.84,22.9427
LLMLingua0.8,81.8,303.56,0.209,1.013,1079,1319,0.8,-1.25,-8.65,26.9469
LLMLingua0.9,87.79,308.0,0.216,1.027,1158,1319,0.9,-2.74,-2.66,28.5032
