Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,90.45,299.8,0.213,299.8,1193,1319,,0.0,0.0,30.1701
BeConcise,90.22,231.62,0.185,0.773,1190,1319,,22.74,-0.23,38.9517
OnlyNumbers,89.46,180.23,0.162,0.601,1180,1319,,39.88,-0.99,49.6366
AbbreWords,88.86,181.51,0.176,0.605,1172,1319,,39.46,-1.59,48.956
LC-Prompt,89.54,178.45,0.146,0.595,1181,1319,,40.48,-0.91,50.1765
Truncation0.5,39.12,241.47,0.092,0.805,516,1319,0.5,19.46,-51.33,16.2008
Truncation0.6,61.49,268.74,0.114,0.896,811,1319,0.6,10.36,-28.96,22.8809
Truncation0.7,75.51,285.11,0.138,0.951,996,1319,0.7,4.9,-14.94,26.4845
Truncation0.8,84.69,293.88,0.164,0.98,1117,1319,0.8,1.97,-5.76,28.8179
Truncation0.9,88.63,297.97,0.19,0.994,1169,1319,0.9,0.61,-1.82,29.7446
LLMLingua0.5,43.44,279.66,0.201,0.933,573,1319,0.5,6.72,-47.01,15.5331
LLMLingua0.6,57.16,293.21,0.205,0.978,754,1319,0.6,2.2,-33.29,19.4946
LLMLingua0.7,71.87,296.82,0.208,0.99,948,1319,0.7,0.99,-18.58,24.2133
LLMLingua0.8,82.41,298.68,0.212,0.996,1087,1319,0.8,0.37,-8.04,27.5914
LLMLingua0.9,87.72,300.85,0.211,1.004,1157,1319,0.9,-0.35,-2.73,29.1574
LoRA0.5,82.26,171.5,0.15,0.572,1085,1319,0.5,42.8,-8.19,47.965
LoRAGuided0.5,82.49,161.98,0.155,0.54,1088,1319,0.5,45.97,-7.96,50.926
LoRASoft0.5,80.44,155.73,0.125,0.519,1061,1319,0.5,48.06,-10.01,51.6535
LoRA0.6,86.28,201.24,0.169,0.671,1138,1319,0.6,32.88,-4.17,42.8742
LoRAGuided0.6,86.58,189.2,0.159,0.631,1142,1319,0.6,36.89,-3.87,45.7611
LoRASoft0.6,84.99,174.46,0.144,0.582,1121,1319,0.6,41.81,-5.46,48.716
LoRA0.7,88.86,230.29,0.18,0.768,1172,1319,0.7,23.19,-1.59,38.5861
LoRAGuided0.7,89.31,213.68,0.173,0.713,1178,1319,0.7,28.73,-1.14,41.7961
LoRASoft0.7,87.26,191.32,0.158,0.638,1151,1319,0.7,36.18,-3.19,45.6095
LoRA0.8,90.6,266.8,0.205,0.89,1195,1319,0.8,11.01,0.15,33.958
LoRAGuided0.8,90.67,247.1,0.191,0.824,1196,1319,0.8,17.58,0.22,36.6936
LoRASoft0.8,89.39,224.06,0.171,0.747,1179,1319,0.8,25.26,-1.06,39.8956
LoRA0.9,90.45,284.61,0.208,0.949,1193,1319,0.9,5.07,0.0,31.7803
LoRAGuided0.9,90.6,259.37,0.191,0.865,1195,1319,0.9,13.49,0.15,34.9308
LoRASoft0.9,89.92,237.71,0.174,0.793,1186,1319,0.9,20.71,-0.53,37.8276
