Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,43.6,572.14,0.339,572.136,218,500,,0.0,0.0,7.6205
BeConcise,44.4,554.56,0.339,0.969,222,500,,3.07,0.8,8.0063
OnlyNumbers,41.8,567.14,0.341,0.991,209,500,,0.87,-1.8,7.3703
AbbreWords,45.0,577.18,0.341,1.009,225,500,,-0.88,1.4,7.7965
LC-Prompt,39.6,541.19,0.343,0.946,198,500,,5.41,-4.0,7.3172
Truncation0.5,31.6,434.52,0.147,0.759,158,500,0.5,24.05,-12.0,7.2724
Truncation0.6,37.2,479.22,0.18,0.838,186,500,0.6,16.24,-6.4,7.7626
Truncation0.7,40.0,512.07,0.216,0.895,200,500,0.7,10.5,-3.6,7.8114
Truncation0.8,42.0,537.41,0.254,0.939,210,500,0.8,6.07,-1.6,7.8153
Truncation0.9,43.2,557.12,0.297,0.974,216,500,0.9,2.63,-0.4,7.7542
LLMLingua0.5,13.2,524.11,0.319,0.916,66,500,0.5,8.39,-30.4,2.5186
LLMLingua0.6,24.6,550.79,0.323,0.963,123,500,0.6,3.73,-19.0,4.4663
LLMLingua0.7,33.0,568.65,0.33,0.994,165,500,0.7,0.61,-10.6,5.8032
LLMLingua0.8,38.6,575.24,0.333,1.005,193,500,0.8,-0.54,-5.0,6.7102
LLMLingua0.9,42.8,565.6,0.334,0.989,214,500,0.9,1.14,-0.8,7.5672
