Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,43.6,572.14,0.339,572.136,218,500,,0.0,0.0,7.6205
BeConcise,44.4,554.56,0.339,0.969,222,500,,3.07,0.8,8.0063
OnlyNumbers,41.8,567.14,0.341,0.991,209,500,,0.87,-1.8,7.3703
AbbreWords,45.0,577.18,0.341,1.009,225,500,,-0.88,1.4,7.7965
LC-Prompt,39.6,541.19,0.343,0.946,198,500,,5.41,-4.0,7.3172
Truncation0.5,31.6,434.52,0.147,0.759,158,500,0.5,24.05,-12.0,7.2724
Truncation0.6,37.2,479.22,0.18,0.838,186,500,0.6,16.24,-6.4,7.7626
Truncation0.7,40.0,512.07,0.216,0.895,200,500,0.7,10.5,-3.6,7.8114
Truncation0.8,42.0,537.41,0.254,0.939,210,500,0.8,6.07,-1.6,7.8153
Truncation0.9,43.2,557.12,0.297,0.974,216,500,0.9,2.63,-0.4,7.7542
LLMLingua0.5,13.2,524.11,0.319,0.916,66,500,0.5,8.39,-30.4,2.5186
LLMLingua0.6,24.6,550.79,0.323,0.963,123,500,0.6,3.73,-19.0,4.4663
LLMLingua0.7,33.0,568.65,0.33,0.994,165,500,0.7,0.61,-10.6,5.8032
LLMLingua0.8,38.6,575.24,0.333,1.005,193,500,0.8,-0.54,-5.0,6.7102
LLMLingua0.9,42.8,565.6,0.334,0.989,214,500,0.9,1.14,-0.8,7.5672
LoRA0.5,24.0,362.02,0.144,0.633,120,500,0.5,36.73,-19.6,6.6295
LoRAGuided0.5,23.8,356.64,0.145,0.623,119,500,0.5,37.67,-19.8,6.6734
LoRASoft0.5,19.4,352.96,0.147,0.617,97,500,0.5,38.31,-24.2,5.4964
LoRA0.6,29.8,405.47,0.177,0.709,149,500,0.6,29.13,-13.8,7.3495
LoRAGuided0.6,29.2,392.27,0.177,0.686,146,500,0.6,31.44,-14.4,7.4439
LoRASoft0.6,27.6,393.17,0.178,0.687,138,500,0.6,31.28,-16.0,7.0199
LoRA0.7,32.6,447.82,0.214,0.783,163,500,0.7,21.73,-11.0,7.2797
LoRAGuided0.7,31.0,444.77,0.213,0.777,155,500,0.7,22.26,-12.6,6.9699
LoRASoft0.7,29.8,438.45,0.215,0.766,149,500,0.7,23.37,-13.8,6.7967
LoRA0.8,36.8,495.43,0.252,0.866,184,500,0.8,13.41,-6.8,7.4279
LoRAGuided0.8,34.6,478.85,0.256,0.837,173,500,0.8,16.31,-9.0,7.2256
LoRASoft0.8,37.0,479.02,0.259,0.837,185,500,0.8,16.28,-6.6,7.7241
LoRA0.9,37.6,521.08,0.295,0.911,188,500,0.9,8.92,-6.0,7.2158
LoRAGuided0.9,36.4,508.11,0.298,0.888,182,500,0.9,11.19,-7.2,7.1638
LoRASoft0.9,35.0,507.0,0.301,0.886,175,500,0.9,11.39,-8.6,6.9034
LoRAAdaptive,35.4,492.89,0.299,0.861,177,500,adaptive,13.85,-8.2,7.1821
