Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,65.0,581.68,1.499,581.678,325,500,,0.0,0.0,11.1745
BeConcise,66.8,505.55,1.483,0.869,334,500,,13.09,1.8,13.2133
OnlyNumbers,26.4,29.45,0.827,0.051,132,500,,94.94,-38.6,89.6435
AbbreWords,66.2,407.31,1.474,0.7,331,500,,29.98,1.2,16.253
LC-Prompt,65.4,338.03,1.392,0.581,327,500,,41.89,0.4,19.3474
Truncation0.5,39.6,442.75,0.554,0.761,198,500,0.5,23.88,-25.4,8.9441
Truncation0.6,48.6,488.82,0.71,0.84,243,500,0.6,15.96,-16.4,9.9423
Truncation0.7,55.4,523.22,0.883,0.899,277,500,0.7,10.05,-9.6,10.5883
Truncation0.8,59.6,549.3,1.074,0.944,298,500,0.8,5.57,-5.4,10.8502
Truncation0.9,63.6,568.39,1.277,0.977,318,500,0.9,2.28,-1.4,11.1895
LLMLingua0.5,33.2,547.51,1.379,0.941,166,500,0.5,5.87,-31.8,6.0638
LLMLingua0.6,48.8,572.15,1.406,0.984,244,500,0.6,1.64,-16.2,8.5292
LLMLingua0.7,56.8,570.05,1.431,0.98,284,500,0.7,2.0,-8.2,9.964
LLMLingua0.8,61.2,581.85,1.451,1.0,306,500,0.8,-0.03,-3.8,10.5182
LLMLingua0.9,64.8,581.47,1.471,1.0,324,500,0.9,0.04,-0.2,11.1442
LoRA0.5,49.4,358.83,0.567,0.617,247,500,0.5,38.31,-15.6,13.767
LoRAGuided0.5,51.8,349.95,0.57,0.602,259,500,0.5,39.84,-13.2,14.8021
LoRASoft0.5,53.8,350.51,0.582,0.603,269,500,0.5,39.74,-11.2,15.3491
LoRA0.6,53.6,411.16,0.726,0.707,268,500,0.6,29.32,-11.4,13.0363
LoRAGuided0.6,56.0,400.62,0.73,0.689,280,500,0.6,31.13,-9.0,13.9783
LoRASoft0.6,58.4,390.6,0.744,0.671,292,500,0.6,32.85,-6.6,14.9514
LoRA0.7,57.6,466.11,0.902,0.801,288,500,0.7,19.87,-7.4,12.3576
LoRAGuided0.7,60.6,434.63,0.902,0.747,303,500,0.7,25.28,-4.4,13.9429
LoRASoft0.7,62.2,421.87,0.921,0.725,311,500,0.7,27.47,-2.8,14.7439
LoRA0.8,61.2,499.63,1.094,0.859,306,500,0.8,14.11,-3.8,12.2491
LoRAGuided0.8,62.8,471.0,1.099,0.81,314,500,0.8,19.03,-2.2,13.3333
LoRASoft0.8,64.6,444.45,1.118,0.764,323,500,0.8,23.59,-0.4,14.5348
LoRA0.9,61.8,536.29,1.302,0.922,309,500,0.9,7.8,-3.2,11.5236
LoRAGuided0.9,63.6,497.0,1.306,0.854,318,500,0.9,14.56,-1.4,12.7968
LoRASoft0.9,64.4,462.06,1.326,0.794,322,500,0.9,20.56,-0.6,13.9376
LoRAAdaptive,61.6,495.75,1.277,0.852,308,500,adaptive,14.77,-3.4,12.4256
