Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,61.0,571.68,0.657,571.678,305,500,,0.0,0.0,10.6703
BeConcise,61.2,524.54,0.654,0.918,306,500,,8.25,0.2,11.6674
OnlyNumbers,61.4,446.35,0.66,0.781,307,500,,21.92,0.4,13.756
AbbreWords,60.8,452.25,0.655,0.791,304,500,,20.89,-0.2,13.4439
LC-Prompt,61.0,422.73,0.619,0.739,305,500,,26.05,0.0,14.43
Truncation0.5,40.6,438.67,0.251,0.767,203,500,0.5,23.27,-20.4,9.2552
Truncation0.6,47.6,483.33,0.32,0.845,238,500,0.6,15.45,-13.4,9.8483
Truncation0.7,52.2,516.96,0.395,0.904,261,500,0.7,9.57,-8.8,10.0975
Truncation0.8,55.8,542.31,0.475,0.949,279,500,0.8,5.14,-5.2,10.2893
Truncation0.9,59.4,559.9,0.563,0.979,297,500,0.9,2.06,-1.6,10.609
LLMLingua0.5,31.2,517.79,0.598,0.906,156,500,0.5,9.43,-29.8,6.0256
LLMLingua0.6,44.8,543.67,0.621,0.951,224,500,0.6,4.9,-16.2,8.2403
LLMLingua0.7,53.0,552.68,0.632,0.967,265,500,0.7,3.32,-8.0,9.5896
LLMLingua0.8,59.6,564.02,0.639,0.987,298,500,0.8,1.34,-1.4,10.567
LLMLingua0.9,61.8,561.74,0.647,0.983,309,500,0.9,1.74,0.8,11.0015
